UTC;Position;Altitude;Speed;Direction
2019-05-11T11:23:25Z;45.643936,8.719326;1350;176;349
2019-05-11T11:23:32Z;45.649265,8.717857;1625;175;349
2019-05-11T11:23:39Z;45.654293,8.715385;1875;177;339
2019-05-11T11:23:47Z;45.65834,8.711884;2050;177;327
2019-05-11T11:23:55Z;45.663849,8.704924;2375;176;315
2019-05-11T11:24:04Z;45.668106,8.697756;2575;174;309
2019-05-11T11:24:10Z;45.671421,8.691284;2700;175;305
2019-05-11T11:24:18Z;45.675892,8.682495;2875;177;305
2019-05-11T11:24:26Z;45.678726,8.676787;3000;177;305
2019-05-11T11:24:32Z;45.681564,8.671161;3125;175;305
2019-05-11T11:24:42Z;45.687195,8.660442;3350;176;307
2019-05-11T11:24:48Z;45.690445,8.654681;3475;176;308
2019-05-11T11:24:56Z;45.693512,8.649255;3600;177;309
2019-05-11T11:25:10Z;45.701168,8.636215;3875;178;310
2019-05-11T11:25:16Z;45.704956,8.629761;3975;180;310
2019-05-11T11:25:27Z;45.711643,8.618774;4075;190;310
2019-05-11T11:25:34Z;45.715973,8.611359;4175;198;308
2019-05-11T11:25:42Z;45.719467,8.603099;4250;202;299
2019-05-11T11:25:48Z;45.721436,8.595529;4325;206;290
2019-05-11T11:25:54Z;45.722488,8.587625;4400;211;280
2019-05-11T11:26:00Z;45.722534,8.578112;4475;218;267
2019-05-11T11:26:08Z;45.721207,8.569671;4575;223;255
2019-05-11T11:26:14Z;45.718506,8.561364;4675;228;242
2019-05-11T11:26:21Z;45.712807,8.550591;4850;235;233
2019-05-11T11:26:31Z;45.705685,8.538574;5050;249;229
2019-05-11T11:26:38Z;45.700935,8.53054;5250;254;229
2019-05-11T11:26:44Z;45.696625,8.52318;5475;257;230
2019-05-11T11:26:55Z;45.687252,8.507057;6000;261;230
2019-05-11T11:27:07Z;45.677895,8.491127;6575;262;229
2019-05-11T11:27:18Z;45.668442,8.475197;7150;264;229
2019-05-11T11:27:29Z;45.659409,8.459874;7725;264;230
2019-05-11T11:27:42Z;45.649357,8.442513;8275;267;230
2019-05-11T11:27:54Z;45.64032,8.427116;8775;269;230
2019-05-11T11:28:05Z;45.631027,8.410905;9375;268;231
2019-05-11T11:28:18Z;45.622078,8.392044;10100;265;237
2019-05-11T11:28:30Z;45.614304,8.374123;10575;269;238
2019-05-11T11:28:44Z;45.606537,8.356376;11025;272;237
2019-05-11T11:28:56Z;45.598057,8.337318;11600;273;237
2019-05-11T11:29:06Z;45.589676,8.31871;12150;274;237
2019-05-11T11:29:39Z;45.566483,8.268953;13675;275;235
2019-05-11T11:30:12Z;45.542007,8.218779;14775;287;235
2019-05-11T11:30:42Z;45.519012,8.171416;16250;282;234
2019-05-11T11:31:17Z;45.494659,8.120924;17050;299;236
2019-05-11T11:31:27Z;45.486557,8.098624;17325;307;246
2019-05-11T11:31:35Z;45.483719,8.088161;17500;308;249
2019-05-11T11:31:43Z;45.479813,8.068587;17850;311;255
2019-05-11T11:31:49Z;45.478092,8.057132;18075;313;258
2019-05-11T11:31:57Z;45.476555,8.044538;18300;313;260
2019-05-11T11:32:04Z;45.474884,8.026036;18650;314;263
2019-05-11T11:32:10Z;45.474243,8.013284;18875;316;266
2019-05-11T11:32:16Z;45.47406,8.001448;19075;317;269
2019-05-11T11:32:36Z;45.47744,7.958389;19725;325;281
2019-05-11T11:32:43Z;45.48,7.944857;19900;330;285
2019-05-11T11:33:07Z;45.492336,7.895485;20525;341;293
2019-05-11T11:33:15Z;45.497498,7.882037;20625;349;299
2019-05-11T11:33:21Z;45.502949,7.870364;20700;356;304
2019-05-11T11:33:28Z;45.512329,7.853394;20800;364;308
2019-05-11T11:33:35Z;45.518738,7.842211;20925;369;308
2019-05-11T11:33:41Z;45.525387,7.830439;21050;372;308
2019-05-11T11:34:45Z;45.594543,7.707378;23075;379;308
2019-05-11T11:35:47Z;45.663803,7.583916;25050;382;308
2019-05-11T11:36:22Z;45.70665,7.515117;25975;397;318
2019-05-11T11:36:31Z;45.719093,7.499886;26225;398;319
2019-05-11T11:37:37Z;45.810013,7.384956;27675;405;318
2019-05-11T11:38:41Z;45.900925,7.270065;29200;404;318
2019-05-11T11:39:02Z;45.931232,7.231613;29475;405;318
2019-05-11T11:40:32Z;46.062321,7.06469;30725;426;318
2019-05-11T11:41:33Z;46.151981,6.95002;31600;434;318
2019-05-11T11:42:40Z;46.252808,6.820433;32800;436;318
2019-05-11T11:43:40Z;46.345734,6.700287;33500;441;318
2019-05-11T11:44:46Z;46.441681,6.57592;34625;436;317
2019-05-11T11:45:49Z;46.536987,6.451587;35175;440;317
2019-05-11T11:46:51Z;46.632019,6.326785;35975;437;317
2019-05-11T11:47:53Z;46.726089,6.20272;36000;428;317
2019-05-11T11:48:56Z;46.817726,6.081345;36000;439;317
2019-05-11T11:49:57Z;46.908966,5.960435;36000;444;318
2019-05-11T11:50:58Z;47.016861,5.85228;36000;456;331
2019-05-11T11:52:00Z;47.135586,5.760639;36000;458;332
2019-05-11T11:53:06Z;47.253799,5.669083;36000;461;332
2019-05-11T11:54:06Z;47.371651,5.577322;36000;456;332
2019-05-11T11:55:07Z;47.480953,5.482178;36000;452;322
2019-05-11T11:55:14Z;47.491562,5.469475;36000;453;320
2019-05-11T11:55:26Z;47.509872,5.445236;36000;452;316
2019-05-11T11:55:34Z;47.522991,5.425767;36000;451;314
2019-05-11T11:55:40Z;47.531696,5.411823;36000;450;312
2019-05-11T11:55:50Z;47.543518,5.391335;36000;450;309
2019-05-11T11:56:02Z;47.559082,5.360847;36000;450;305
2019-05-11T11:57:05Z;47.624477,5.193435;36000;449;299
2019-05-11T11:58:07Z;47.686855,5.026738;36000;445;298
2019-05-11T11:59:13Z;47.753036,4.848404;36000;444;298
2019-05-11T12:00:17Z;47.815247,4.679612;36000;444;298
2019-05-11T12:01:24Z;47.881676,4.497915;36000;444;298
2019-05-11T12:02:35Z;47.950527,4.308824;36000;444;298
2019-05-11T12:03:37Z;48.010765,4.142057;36000;443;298
2019-05-11T12:04:41Z;48.073238,3.967896;36000;442;297
2019-05-11T12:05:46Z;48.133713,3.798386;36000;444;298
2019-05-11T12:06:48Z;48.195053,3.625066;36000;446;297
2019-05-11T12:07:48Z;48.252457,3.462031;36000;445;297
2019-05-11T12:08:50Z;48.312237,3.288092;36000;444;294
2019-05-11T12:09:12Z;48.327087,3.226511;36000;444;287
2019-05-11T12:10:13Z;48.364937,3.047549;36000;446;287
2019-05-11T12:11:20Z;48.405109,2.852181;36000;448;286
2019-05-11T12:12:23Z;48.442211,2.666353;36000;448;286
2019-05-11T12:13:25Z;48.480106,2.47467;36000;447;286
2019-05-11T12:14:30Z;48.51796,2.281353;36000;447;286
2019-05-11T12:15:35Z;48.555954,2.08543;36000;444;286
2019-05-11T12:16:37Z;48.591156,1.901621;36000;443;285
2019-05-11T12:17:47Z;48.630936,1.692106;36000;440;285
2019-05-11T12:18:35Z;48.657486,1.550622;36000;441;285
2019-05-11T12:20:05Z;48.706768,1.286123;36000;443;285
2019-05-11T12:21:08Z;48.741577,1.096802;36000;443;285
2019-05-11T12:22:08Z;48.774124,0.917922;36000;441;285
