UTC;Position;Altitude;Speed;Direction
2019-05-11T07:44:50Z;44.530521,11.291551;0;9;109
2019-05-11T07:45:34Z;44.530609,11.291068;0;2;25
2019-05-11T07:49:30Z;44.531948,11.292048;0;31;28
2019-05-11T07:49:36Z;44.5322,11.292066;0;24;351
2019-05-11T07:49:42Z;44.532372,11.291785;0;27;298
2019-05-11T07:49:50Z;44.532497,11.291379;0;27;292
2019-05-11T07:49:56Z;44.532646,11.290986;0;29;295
2019-05-11T07:50:02Z;44.532791,11.290596;0;30;295
2019-05-11T07:50:13Z;44.533127,11.289641;0;33;298
2019-05-11T07:50:26Z;44.533504,11.288615;0;16;298
2019-05-11T07:50:37Z;44.533897,11.287498;0;17;295
2019-05-11T07:50:43Z;44.534111,11.286916;0;18;295
2019-05-11T07:50:55Z;44.534557,11.285655;0;18;298
2019-05-11T07:51:08Z;44.535011,11.284399;0;19;295
2019-05-11T07:51:19Z;44.535519,11.283008;0;20;298
2019-05-11T07:51:26Z;44.535759,11.282338;0;21;295
2019-05-11T07:51:37Z;44.536148,11.281259;0;15;298
2019-05-11T07:51:43Z;44.53635,11.280715;0;16;298
2019-05-11T07:51:50Z;44.536526,11.280212;0;16;295
2019-05-11T07:52:03Z;44.536949,11.279036;0;17;298
2019-05-11T07:52:12Z;44.537399,11.277801;0;19;295
2019-05-11T07:52:19Z;44.537598,11.277231;0;18;298
2019-05-11T07:52:31Z;44.537991,11.276141;0;33;298
2019-05-11T07:52:38Z;44.538162,11.275667;0;31;295
2019-05-11T07:52:49Z;44.53846,11.27485;0;26;298
2019-05-11T07:52:55Z;44.538563,11.274572;0;19;298
2019-05-11T07:53:07Z;44.538677,11.274245;0;11;295
2019-05-11T07:55:48Z;44.538761,11.273999;0;19;295
2019-05-11T07:55:56Z;44.539009,11.273444;0;32;312
2019-05-11T07:56:03Z;44.539318,11.273145;0;34;329
2019-05-11T07:56:09Z;44.539646,11.272843;0;34;326
2019-05-11T07:56:15Z;44.539959,11.272559;0;34;326
2019-05-11T07:56:22Z;44.54047,11.272123;0;34;331
2019-05-11T07:56:30Z;44.540867,11.272241;0;34;22
2019-05-11T07:56:36Z;44.541058,11.272627;0;28;67
2019-05-11T07:56:42Z;44.541138,11.272986;0;22;78
2019-05-11T07:56:50Z;44.541012,11.273248;0;10;120
2019-05-11T07:57:55Z;44.540874,11.273591;0;30;120
2019-05-11T07:58:05Z;44.539993,11.276044;0;62;115
2019-05-11T07:58:13Z;44.538322,11.280686;0;110;118
2019-05-11T07:58:20Z;44.536747,11.285086;0;135;118
2019-05-11T07:58:26Z;44.534966,11.290043;0;155;115
2019-05-11T07:58:38Z;44.531406,11.299974;425;155;116
2019-05-11T07:58:45Z;44.529282,11.305847;675;156;117
2019-05-11T07:58:55Z;44.527084,11.31801;1175;159;93
2019-05-11T07:59:01Z;44.527908,11.323896;1400;159;78
2019-05-11T07:59:07Z;44.529785,11.329585;1625;162;62
2019-05-11T07:59:15Z;44.532578,11.33462;1850;166;49
2019-05-11T07:59:21Z;44.53606,11.338761;2100;168;37
2019-05-11T07:59:27Z;44.540451,11.341814;2350;169;23
2019-05-11T07:59:34Z;44.547318,11.34345;2725;168;3
2019-05-11T07:59:40Z;44.552029,11.34258;2975;169;350
2019-05-11T07:59:46Z;44.55645,11.340972;3175;170;343
2019-05-11T07:59:52Z;44.561325,11.338806;3350;175;341
2019-05-11T07:59:59Z;44.566086,11.337236;3475;185;347
2019-05-11T08:00:25Z;44.587872,11.347269;3800;229;34
2019-05-11T08:00:35Z;44.597603,11.358725;4325;238;41
2019-05-11T08:00:41Z;44.602818,11.365423;4675;239;42
2019-05-11T08:00:48Z;44.607658,11.371386;5025;239;39
2019-05-11T08:00:55Z;44.616642,11.377951;5550;238;20
2019-05-11T08:01:02Z;44.622986,11.379939;5900;237;10
2019-05-11T08:01:10Z;44.632515,11.379625;6350;239;354
2019-05-11T08:01:17Z;44.638962,11.378304;6675;238;350
2019-05-11T08:01:25Z;44.645645,11.37507;7075;233;335
2019-05-11T08:01:31Z;44.653465,11.367768;7525;232;320
2019-05-11T08:01:38Z;44.657959,11.361498;7800;232;313
2019-05-11T08:01:44Z;44.661758,11.353912;8100;230;301
2019-05-11T08:01:54Z;44.665195,11.341575;8425;234;284
2019-05-11T08:02:01Z;44.665802,11.332063;8600;240;272
2019-05-11T08:02:08Z;44.663773,11.318534;8825;248;253
