UTC;Position;Altitude;Speed;Direction
2019-05-11T00:29:14Z;40.643421,-73.792809;0;9;174
2019-05-11T00:29:35Z;40.643211,-73.792892;0;9;188
2019-05-11T00:30:32Z;40.642754,-73.793549;0;10;227
2019-05-11T00:31:02Z;40.642467,-73.7939;0;10;225
2019-05-11T00:31:24Z;40.642315,-73.794121;0;9;227
2019-05-11T00:33:28Z;40.642296,-73.794159;0;0;180
2019-05-11T00:35:23Z;40.644642,-73.794983;0;22;354
2019-05-11T00:35:42Z;40.645546,-73.79509;0;26;351
2019-05-11T00:35:53Z;40.645935,-73.795242;0;23;343
2019-05-11T00:38:21Z;40.651382,-73.794708;0;29;61
2019-05-11T00:38:34Z;40.651775,-73.793762;0;31;61
2019-05-11T00:38:43Z;40.652,-73.793213;0;32;64
2019-05-11T00:39:28Z;40.651417,-73.789207;0;16;101
2019-05-11T00:39:42Z;40.651474,-73.787704;0;16;78
2019-05-11T00:40:00Z;40.652035,-73.786163;0;34;61
2019-05-11T00:40:06Z;40.652229,-73.78569;0;33;59
2019-05-11T00:40:13Z;40.652439,-73.78524;0;32;59
2019-05-11T00:40:24Z;40.652676,-73.784256;0;16;81
2019-05-11T00:40:30Z;40.652573,-73.7836;0;17;104
2019-05-11T00:40:40Z;40.652264,-73.782867;0;17;120
2019-05-11T00:40:47Z;40.651962,-73.782227;0;17;120
2019-05-11T00:40:53Z;40.651638,-73.781509;0;18;120
2019-05-11T00:40:59Z;40.651325,-73.780807;0;18;120
2019-05-11T00:41:06Z;40.651073,-73.780243;0;18;120
2019-05-11T00:41:14Z;40.650684,-73.779404;0;19;120
2019-05-11T00:41:23Z;40.650368,-73.778717;0;19;120
2019-05-11T00:41:30Z;40.649948,-73.777779;0;19;120
2019-05-11T00:41:38Z;40.649555,-73.776924;0;20;120
2019-05-11T00:41:52Z;40.648922,-73.775528;0;20;120
2019-05-11T00:41:59Z;40.648659,-73.774948;0;18;120
2019-05-11T00:42:10Z;40.648201,-73.773926;0;29;120
2019-05-11T00:42:18Z;40.648041,-73.773575;0;23;120
2019-05-11T00:42:36Z;40.64756,-73.772522;0;26;120
2019-05-11T00:42:44Z;40.647411,-73.772171;0;26;120
2019-05-11T00:42:53Z;40.647102,-73.771515;0;28;120
2019-05-11T00:43:04Z;40.64669,-73.771042;0;29;143
2019-05-11T00:43:14Z;40.646225,-73.770897;0;26;168
2019-05-11T00:43:21Z;40.645828,-73.770805;0;26;165
2019-05-11T00:43:27Z;40.64576,-73.770599;0;28;137
2019-05-11T00:43:33Z;40.645737,-73.770119;0;24;98
2019-05-11T00:43:39Z;40.645763,-73.769745;0;23;87
2019-05-11T00:43:46Z;40.645832,-73.769409;0;23;75
2019-05-11T00:43:56Z;40.646122,-73.769058;0;23;36
2019-05-11T00:44:04Z;40.64645,-73.768799;0;22;30
2019-05-11T00:44:14Z;40.64677,-73.768555;0;23;30
2019-05-11T00:44:22Z;40.64711,-73.768295;0;25;30
2019-05-11T00:44:29Z;40.647377,-73.768089;0;27;30
2019-05-11T00:44:40Z;40.647835,-73.767715;0;24;30
2019-05-11T00:44:52Z;40.648438,-73.767265;0;31;30
2019-05-11T00:45:05Z;40.649014,-73.766785;0;31;30
2019-05-11T00:45:17Z;40.649612,-73.766327;0;28;30
2019-05-11T00:45:28Z;40.650066,-73.765968;0;22;30
2019-05-11T00:45:40Z;40.650318,-73.765778;0;11;30
2019-05-11T00:45:52Z;40.650543,-73.76561;0;14;30
2019-05-11T00:46:12Z;40.65094,-73.765266;0;18;36
2019-05-11T00:46:18Z;40.651039,-73.764969;0;19;59
2019-05-11T00:46:26Z;40.650982,-73.764664;0;16;92
2019-05-11T00:46:50Z;40.65081,-73.764343;0;11;115
2019-05-11T00:47:01Z;40.650707,-73.764084;0;14;118
2019-05-11T00:47:20Z;40.650341,-73.76358;0;19;140
2019-05-11T00:47:30Z;40.650089,-73.763611;0;16;174
2019-05-11T00:47:41Z;40.649849,-73.763855;0;14;208
2019-05-11T00:47:53Z;40.649136,-73.764404;0;33;210
2019-05-11T00:47:59Z;40.647732,-73.765518;0;61;210
2019-05-11T00:48:08Z;40.645111,-73.767548;0;90;210
2019-05-11T00:48:19Z;40.640808,-73.770935;0;117;211
2019-05-11T00:48:31Z;40.633896,-73.776306;0;150;211
2019-05-11T00:48:42Z;40.625885,-73.782898;350;157;212
2019-05-11T00:48:48Z;40.622314,-73.785828;650;152;212
2019-05-11T00:48:54Z;40.618973,-73.788452;950;146;210
2019-05-11T00:49:02Z;40.615059,-73.791481;1250;145;209
2019-05-11T00:49:13Z;40.606979,-73.797302;1425;159;208
2019-05-11T00:49:19Z;40.602814,-73.800293;1525;165;208
2019-05-11T00:49:25Z;40.598831,-73.803223;1575;172;209
2019-05-11T00:49:31Z;40.594345,-73.806458;1650;180;208
2019-05-11T00:49:39Z;40.589813,-73.809814;1725;187;210
2019-05-11T00:49:45Z;40.584961,-73.812866;1825;196;202
2019-05-11T00:49:51Z;40.579697,-73.815186;1975;203;196
2019-05-11T00:49:58Z;40.570835,-73.817017;2200;217;184
2019-05-11T00:50:04Z;40.565552,-73.816895;2325;226;175
2019-05-11T00:50:12Z;40.558685,-73.814941;2475;237;163
2019-05-11T00:50:18Z;40.551609,-73.810463;2700;248;151
2019-05-11T00:50:27Z;40.543087,-73.800659;3025;263;132
2019-05-11T00:50:35Z;40.537457,-73.788673;3400;272;115
2019-05-11T00:50:42Z;40.535019,-73.778992;3675;277;105
2019-05-11T00:50:51Z;40.533825,-73.762955;4025;287;90
2019-05-11T00:50:57Z;40.534756,-73.752785;4250;290;80
2019-05-11T00:51:03Z;40.536301,-73.743042;4525;290;77
2019-05-11T00:51:11Z;40.539047,-73.727051;4925;295;77
2019-05-11T00:51:19Z;40.541042,-73.714577;5250;296;78
2019-05-11T00:51:30Z;40.544579,-73.693352;5825;298;77
2019-05-11T00:51:42Z;40.548023,-73.671883;6500;296;78
2019-05-11T00:51:55Z;40.550858,-73.65271;7075;296;79
2019-05-11T00:52:07Z;40.554306,-73.628937;7650;302;80
2019-05-11T00:52:21Z;40.556122,-73.604675;8125;311;88
2019-05-11T00:52:28Z;40.556259,-73.588623;8400;316;89
2019-05-11T00:52:43Z;40.556396,-73.558411;9050;321;89
2019-05-11T00:52:55Z;40.556625,-73.535339;9700;319;89
2019-05-11T00:53:07Z;40.556808,-73.512146;10375;315;89
2019-05-11T00:53:20Z;40.556946,-73.48761;10775;325;89
2019-05-11T00:53:33Z;40.557129,-73.463379;10975;339;89
2019-05-11T00:53:44Z;40.557312,-73.437866;11175;353;89
2019-05-11T00:53:56Z;40.557495,-73.411926;11450;363;89
2019-05-11T00:54:08Z;40.557659,-73.384361;11875;369;89
2019-05-11T00:54:23Z;40.557846,-73.355835;12400;373;89
2019-05-11T00:54:41Z;40.560314,-73.314888;13000;382;77
2019-05-11T00:54:47Z;40.564865,-73.296082;13300;383;70
2019-05-11T00:54:54Z;40.569065,-73.280869;13575;385;70
2019-05-11T00:55:02Z;40.57251,-73.267883;13800;387;71
2019-05-11T00:55:37Z;40.59248,-73.183365;14950;403;73
2019-05-11T00:56:13Z;40.61166,-73.099785;16600;402;73
2019-05-11T00:56:47Z;40.630329,-73.018318;17700;413;73
2019-05-11T00:57:23Z;40.650486,-72.931992;18775;425;73
2019-05-11T00:58:24Z;40.686981,-72.773872;20650;442;73
2019-05-11T00:59:27Z;40.724945,-72.608643;22275;461;73
2019-05-11T01:00:31Z;40.764538,-72.434921;23975;473;73
2019-05-11T01:01:34Z;40.804714,-72.256889;25550;486;73
2019-05-11T01:02:35Z;40.84391,-72.082359;26775;499;73
2019-05-11T01:03:37Z;40.8853,-71.896301;27825;515;73
2019-05-11T01:04:41Z;40.928169,-71.701836;28825;529;73
2019-05-11T01:05:45Z;40.971786,-71.502144;29900;540;73
2019-05-11T01:06:26Z;41.00528,-71.372192;30600;540;63
2019-05-11T01:06:33Z;41.013359,-71.352455;30750;538;61
2019-05-11T01:06:42Z;41.024597,-71.327881;30900;535;57
2019-05-11T01:06:50Z;41.037148,-71.303391;31075;534;55
2019-05-11T01:07:51Z;41.122246,-71.139908;31975;540;55
2019-05-11T01:08:57Z;41.215302,-70.959816;33275;536;55
2019-05-11T01:09:57Z;41.29985,-70.795471;34300;533;55
2019-05-11T01:10:37Z;41.355148,-70.687439;34875;531;55
2019-05-11T01:12:07Z;41.477509,-70.447273;36200;525;56
2019-05-11T01:13:08Z;41.560955,-70.282288;36525;531;56
2019-05-11T01:14:10Z;41.644653,-70.117943;37000;530;55
2019-05-11T01:15:10Z;41.728683,-69.952202;37000;527;55
2019-05-11T01:15:36Z;41.76329,-69.88372;37000;529;56
2019-05-11T01:16:44Z;41.856857,-69.697639;37000;528;56
2019-05-11T01:18:12Z;41.977409,-69.456268;37000;533;56
2019-05-11T01:19:16Z;42.06395,-69.281769;37000;541;56
2019-05-11T01:20:18Z;42.151051,-69.105026;37000;538;56
2019-05-11T01:21:22Z;42.237808,-68.927849;37000;535;56
2019-05-11T01:22:25Z;42.323959,-68.75119;37000;533;56
2019-05-11T01:23:28Z;42.409275,-68.575066;37000;535;56
2019-05-11T01:24:31Z;42.494614,-68.397758;37000;531;57
2019-05-11T01:25:32Z;42.574905,-68.230156;37000;530;57
2019-05-11T01:26:35Z;42.659637,-68.052124;37000;529;57
2019-05-11T01:27:36Z;42.739151,-67.884087;37000;530;57
2019-05-11T01:28:39Z;42.823288,-67.705353;37000;532;57
2019-05-11T01:29:42Z;42.906406,-67.527534;37000;530;57
2019-05-11T01:30:45Z;42.988861,-67.350021;37000;522;57
2019-05-11T01:31:27Z;43.041874,-67.235542;37000;520;57
2019-05-11T01:32:58Z;43.159184,-66.980309;37000;517;57
2019-05-11T01:33:25Z;43.194122,-66.904503;37000;517;57
2019-05-11T01:34:06Z;43.246189,-66.791512;37000;518;57
2019-05-11T01:35:09Z;43.325703,-66.617821;37000;522;58
2019-05-11T01:36:11Z;43.387348,-66.456497;37000;520;61
2019-05-11T01:37:43Z;43.521873,-66.184715;37000;522;58
2019-05-11T01:38:46Z;43.602539,-66.004707;37000;522;58
2019-05-11T01:39:51Z;43.685898,-65.817558;37000;525;58
2019-05-11T01:40:55Z;43.765015,-65.638733;37000;523;58
2019-05-11T01:41:56Z;43.842667,-65.462166;37000;523;58
2019-05-11T01:42:56Z;43.919678,-65.286003;37000;523;58
2019-05-11T01:43:59Z;43.996056,-65.110344;37000;527;59
2019-05-11T01:45:01Z;44.072754,-64.932648;37000;528;59
2019-05-11T01:46:00Z;44.149399,-64.754005;37000;525;59
2019-05-11T01:47:03Z;44.225189,-64.576591;37000;526;59
2019-05-11T01:48:03Z;44.30127,-64.397018;37000;527;59
2019-05-11T01:49:05Z;44.376667,-64.218033;37000;524;59
2019-05-11T01:50:05Z;44.451599,-64.039108;37000;521;59
2019-05-11T01:51:07Z;44.525352,-63.861851;37000;518;59
2019-05-11T01:52:08Z;44.599789,-63.681984;37000;519;60
2019-05-11T01:53:10Z;44.673203,-63.503201;37000;520;60
2019-05-11T01:54:12Z;44.746765,-63.323101;37000;519;60
2019-05-11T01:55:13Z;44.818913,-63.145195;37000;515;60
2019-05-11T01:56:15Z;44.891209,-62.965794;37000;510;60
2019-05-11T01:57:16Z;44.961685,-62.789875;37000;510;60
2019-05-11T01:58:17Z;45.03154,-62.614288;37000;509;60
2019-05-11T01:59:16Z;45.101578,-62.437244;37000;508;60
2019-05-11T02:00:20Z;45.173874,-62.253223;37000;507;61
2019-05-11T02:01:26Z;45.246353,-62.067528;37000;505;61
2019-05-11T02:02:25Z;45.314228,-61.892418;37000;502;61
2019-05-11T02:03:26Z;45.382416,-61.715504;37000;504;61
2019-05-11T02:04:29Z;45.452068,-61.533554;37000;506;61
2019-05-11T02:05:29Z;45.519756,-61.35556;37000;506;61
2019-05-11T02:06:33Z;45.590656,-61.167892;37000;509;61
2019-05-11T02:07:33Z;45.657642,-60.989433;37000;510;61
2019-05-11T02:08:36Z;45.727432,-60.802292;37000;505;62
2019-05-11T02:09:42Z;45.799301,-60.608208;37000;497;62
2019-05-11T02:10:43Z;45.864197,-60.431602;37000;496;62
2019-05-11T02:11:35Z;45.919693,-60.279636;37000;497;62
2019-05-11T02:13:05Z;46.015957,-60.014259;37000;505;62
2019-05-11T02:14:11Z;46.087006,-59.816605;37000;503;62
2019-05-11T02:14:19Z;46.094212,-59.796524;37000;503;62
2019-05-11T02:15:51Z;46.191132,-59.524269;37000;495;63
2019-05-11T02:16:51Z;46.254444,-59.345261;37000;499;63
2019-05-11T02:17:55Z;46.319641,-59.1591;37000;502;63
2019-05-11T02:18:54Z;46.382813,-58.977692;37000;500;63
2019-05-11T02:19:55Z;46.446194,-58.794434;37000;500;63
2019-05-11T02:20:55Z;46.507828,-58.615082;37000;498;63
2019-05-11T02:22:00Z;46.575806,-58.415646;37000;500;63
2019-05-11T02:23:01Z;46.619858,-58.236122;37000;500;59
2019-05-11T02:24:20Z;46.685654,-58.01757;37000;500;59
2019-05-11T02:25:29Z;46.786011,-57.789494;37000;502;64
2019-05-11T02:26:29Z;46.846912,-57.605164;37000;497;64
2019-05-11T02:27:32Z;46.909332,-57.414688;37750;484;64
2019-05-11T02:28:34Z;46.970322,-57.227642;38100;488;64
2019-05-11T02:29:39Z;47.031353,-57.03862;38000;485;64
2019-05-11T02:30:42Z;47.091385,-56.85157;38000;488;64
2019-05-11T02:31:45Z;47.152203,-56.660507;38000;490;65
2019-05-11T02:32:47Z;47.210175,-56.477074;38000;491;65
2019-05-11T02:33:48Z;47.268303,-56.291973;38000;492;65
2019-05-11T02:34:54Z;47.330593,-56.091755;38000;489;65
2019-05-11T02:35:53Z;47.386967,-55.909142;38000;486;65
2019-05-11T02:36:56Z;47.445236,-55.719223;38000;484;65
2019-05-11T02:38:00Z;47.50351,-55.527924;38000;486;65
2019-05-11T02:38:59Z;47.558578,-55.345619;38000;490;65
2019-05-11T02:40:03Z;47.617447,-55.149239;38000;490;66
2019-05-11T02:41:03Z;47.67247,-54.964188;38000;485;66
2019-05-11T02:42:07Z;47.729507,-54.770966;38000;482;66
2019-05-11T02:43:10Z;47.785686,-54.579372;38000;483;66
2019-05-11T02:44:10Z;47.839314,-54.394791;38000;485;66
2019-05-11T02:45:15Z;47.895271,-54.200626;38000;480;66
2019-05-11T02:46:15Z;47.947781,-54.01717;38000;478;67
2019-05-11T02:47:18Z;48.002247,-53.825542;38000;477;67
2019-05-11T02:48:21Z;48.056259,-53.633812;38000;479;67
2019-05-11T02:49:24Z;48.110294,-53.440315;38000;481;67
2019-05-11T02:50:24Z;48.161407,-53.255863;38000;476;67
2019-05-11T02:51:29Z;48.214851,-53.061726;38000;479;67
2019-05-11T02:52:31Z;48.268021,-52.866703;38000;481;67
2019-05-11T02:53:31Z;48.317825,-52.682331;38000;480;68
2019-05-11T02:54:35Z;48.370789,-52.48521;38000;479;68
2019-05-11T02:55:37Z;48.42215,-52.292175;38000;477;68
2019-05-11T02:56:41Z;48.474014,-52.09576;38000;476;68
2019-05-11T02:57:41Z;48.522003,-51.912281;38000;475;68
2019-05-11T02:58:01Z;48.538239,-51.850044;38000;475;68
2019-05-11T02:59:28Z;48.607426,-51.582111;38000;470;68
2019-05-11T02:59:40Z;48.616287,-51.547642;38000;469;68
2019-05-11T03:01:00Z;48.677952,-51.306152;38000;466;69
2019-05-11T03:02:28Z;48.745789,-51.03727;38000;460;69
2019-05-11T03:03:31Z;48.793076,-50.848194;38000;463;69
2019-05-11T03:04:33Z;48.839264,-50.66169;38000;467;69
2019-05-11T03:04:48Z;48.851826,-50.61076;38000;468;69
2019-05-11T03:06:17Z;48.918961,-50.336117;38000;468;69
2019-05-11T03:07:18Z;48.963913,-50.150333;38000;468;70
2019-05-11T03:08:23Z;49.006943,-49.951523;38000;472;76
2019-05-11T03:09:25Z;49.036869,-49.74501;38000;476;77
2019-05-11T03:10:25Z;49.065174,-49.546677;38000;480;77
2019-05-11T03:10:47Z;49.074966,-49.477493;38000;481;77
2019-05-11T03:12:17Z;49.116753,-49.177914;38000;477;78
2019-05-11T03:13:17Z;49.144127,-48.978424;38000;479;78
2019-05-11T03:14:21Z;49.17271,-48.76701;38000;485;78
2019-05-11T03:14:38Z;49.180111,-48.712006;38000;486;78
2019-05-11T03:15:44Z;49.205975,-48.375835;38000;480;83
2019-05-11T03:16:45Z;49.222672,-48.17775;38000;480;76
2019-05-11T03:17:44Z;49.239201,-47.988045;38000;480;82
2019-05-11T03:18:45Z;49.255108,-47.800404;38000;490;82
2019-05-11T03:20:07Z;49.281921,-47.603062;38000;480;72
2019-05-11T03:20:47Z;49.297058,-47.457188;38000;480;84
2019-05-11T03:22:07Z;49.337463,-47.224201;38000;480;65
2019-05-11T03:23:07Z;49.36409,-47.057224;38000;480;81
2019-05-11T03:24:07Z;49.38678,-46.874966;38000;480;82
2019-05-11T03:25:07Z;49.405415,-46.6842;38000;480;83
2019-05-11T03:26:10Z;49.431332,-46.476879;38000;480;75
2019-05-11T03:27:10Z;49.460907,-46.273029;38000;480;75
2019-05-11T03:28:11Z;49.485188,-46.078011;38000;480;81
